Iteration,SSIM,L1,PSNR,Loss,FPS,Iteration Time,Model Size (MB)
200,0.7648037672042847,0.13482075929641724,14.064303398132324,0.1548958569765091,26.985133182889786,8.272,8.661554336547852
400,0.7569294571876526,0.07096885144710541,17.77706871032715,0.10538919270038605,32.31821328647383,14.803,8.661554336547852
600,0.7863518595695496,0.0554540790617466,19.512862777709962,0.08709289133548737,34.196619342541084,20.781,8.661554336547852
800,0.8260266184806824,0.04191310703754425,21.4265682220459,0.06832516193389893,36.43448158202793,26.324,11.61912727355957
1000,0.8328680396080017,0.03634116053581238,23.035097122192383,0.06249932199716568,37.629565874205134,31.811,19.460420608520508
1200,0.8876705169677734,0.05357588827610016,23.787915802001955,0.06532660871744156,38.28455841004234,37.125,33.16151714324951
1400,0.8853977918624878,0.0327804796397686,24.600584030151367,0.04914482682943344,36.493365962569186,42.535,50.73501110076904
1600,0.8693543672561646,0.029233615845441818,25.287398529052737,0.04951602220535278,36.09812166357557,48.106,71.25685405731201
1800,0.9037527441978455,0.021133413538336754,25.74794578552246,0.03615618497133255,36.15960607128371,53.761,92.49177837371826
2000,0.8844009637832642,0.03635283559560776,25.93095932006836,0.052202075719833374,35.893795475443476,59.472,112.7641019821167
2200,0.8695955276489258,0.038985904306173325,25.653177642822268,0.0572696179151535,33.522021300749415,65.313,132.2185697555542
2400,0.9071282148361206,0.01931021176278591,26.682443618774414,0.03402252495288849,33.4233184715268,71.280,150.9918851852417
2600,0.904202401638031,0.025357702746987343,27.075310516357423,0.03944568336009979,33.7981071595351,77.410,167.06045818328857
2800,0.8955783843994141,0.02518758922815323,27.25050849914551,0.04103439301252365,34.267756192308276,83.646,183.87829875946045
3000,0.9129164814949036,0.028651224449276924,26.935443496704103,0.04033768177032471,33.637452461871334,89.931,196.7213315963745
3200,0.8873711228370667,0.045998647809028625,22.258183670043948,0.05932469666004181,40.01485231449204,96.236,138.6365385055542
3400,0.9192162752151489,0.020590726286172867,25.23594856262207,0.03262932598590851,39.83855404090951,101.653,151.2839765548706
3600,0.9015635848045349,0.027734272181987762,26.08467826843262,0.04187469929456711,37.55287462625332,107.108,171.59627056121826
3800,0.9224700331687927,0.017816342413425446,26.77054557800293,0.02975906804203987,38.66196311698509,112.705,190.7016477584839
4000,0.9292916059494019,0.0246270764619112,27.53352966308594,0.03384333848953247,33.41645465672746,118.470,208.09917736053467
4200,0.9326527714729309,0.026093346998095512,27.48427429199219,0.03434412181377411,33.10044640221858,124.293,222.49585247039795
4400,0.9188585877418518,0.02750350907444954,28.71908874511719,0.03823108971118927,34.77167426492338,130.174,235.56333446502686
4600,0.9366486668586731,0.024897538125514984,28.40695571899414,0.03258829563856125,31.19509644461771,136.146,246.9716911315918
4800,0.9277649521827698,0.026171280071139336,28.780166244506837,0.035384032875299454,31.4259847473492,142.218,256.926212310791
5000,0.9389994144439697,0.02192237228155136,28.997326278686526,0.029738014563918114,31.934841929269194,148.288,265.53427505493164
5200,0.9381062984466553,0.02490910142660141,29.126570892333987,0.03230602294206619,35.37501000279471,154.485,273.599308013916
5400,0.9301390647888184,0.017578573897480965,29.484188461303713,0.02803504653275013,33.897827295442326,160.636,280.66484451293945
5600,0.9559816122055054,0.014847100712358952,29.991392135620117,0.020681358873844147,33.74562336344785,166.895,287.9027976989746
5800,0.9435861110687256,0.02040000818669796,29.740013122558594,0.02760278433561325,33.82503225806452,173.261,293.9629249572754
6000,0.9298796653747559,0.01776985637843609,30.195615386962892,0.02823995240032673,33.37990582996614,179.623,300.11623764038086
6200,0.8530009984970093,0.05068782716989517,25.028644180297853,0.06995005905628204,34.407811795527735,186.129,216.12873363494873
6400,0.9111534357070923,0.03346482291817665,27.76124610900879,0.04454117268323898,35.18129855447385,192.263,222.1987943649292
6600,0.9136586785316467,0.032031942158937454,28.853464508056643,0.04289381951093674,31.128474900185328,198.480,235.72558116912842
